question,article_claim,status,evidence_layer,primary_numeric_evidence,interpretation,paper_role,required_action,recommended_figure
Q1/H1,Global policy improvement does not imply local deployment safety.,STRONG_SUPPORT,Synthetic + Semi-Synthetic,"Synthetic replications with global Delta>0 and at least one local Delta_g<0: 75.00%. S0: global=0.01305, min local=-0.06795. Semi local-stress: 3/3 datasets reproduce the pattern; natural negative subgroup datasets=wine.",This is the clearest empirical justification for context-local policy admission rather than global rollout.,MAIN_CLAIM,No new experiment required.,fig_final_01_global_vs_local_truth
Q2,"In the clean controlled setting, the DR-based uncertainty scale is approximately calibrated.",STRONG_SUPPORT_WITH_ENGINE_QUALIFICATION,Synthetic S0,"95% empirical coverage: BB-DR=94.92%, Bootstrap-DR=95.28%, BB-DM=5.78%.","DR-based intervals track nominal coverage closely; Bayesian/DM uncertainty does not. The paper should claim calibrated DR-based uncertainty, not 'Bayesian is automatically calibrated.'",MAIN_MECHANISM,Keep frequentist calibration as a prerequisite for deployment.,fig_final_02_s0_calibration
Q3/H2,Evidence quality and policy evaluability are distinct from policy performance.,STRONG_SUPPORT,Synthetic S1 + Semi-Synthetic overlap + OBD ESS,"Synthetic corr(ESS/n, interval width): n=2,000: -0.396, n=5,000: -0.420, n=10,000: -0.429, n=20,000: -0.441. At n=20,000, severe/good ESS ratio=0.280, width ratio=1.778. OBD mean local ESS: forward=20.62%, reverse=1.63%.",Low support produces wider/less trustworthy local evidence; the OBD reverse direction is an extreme real-log example.,MAIN_CLAIM,Retain ESS/weight tails as diagnostics; do not collapse them into a tuned scalar score.,fig_final_03_evaluability_ess_width
Q4/H3,Selective local gating reduces harmful exposure without collapsing coverage.,STRONG_SUPPORT,Synthetic + Semi-Synthetic,Synthetic mean global-rollout harm=30.15% -> BB-DR Gate harm=0.006% with coverage=69.80%. Semi local-stress global harm=10.17% -> Gate harm=0.027% with coverage=82.64%.,"This is the principal decision-level success criterion, stronger than a small RMSE improvement.",MAIN_CLAIM,No new broad experiment required.,fig_final_04_s5_safety_coverage
Q5,Safety is achieved with non-trivial deployment coverage rather than by always abstaining.,STRONG_SUPPORT,Synthetic S5 + Semi-Synthetic,"S5 severe: global harm=75.17%, Gate harm=0.075%, coverage=24.74%, selective-value gain vs baseline=0.01394. Semi selective-value gain vs baseline=0.02443.",The Gate retains meaningful coverage and positive value rather than obtaining safety by C=0.,MAIN_DECISION_RESULT,Report coverage and harm together in every main table.,fig_final_05_semi_transfer_harm
Q6/H5,Hierarchical borrowing helps compatible rare groups but can overshrink heterogeneous harmful groups.,CONDITIONAL_SUPPORT_NOT_PRIMARY,Synthetic S2,"Heterogeneous severe harm: independent=0.0005%, hierarchical=0.0344%, complete pooling=0.996%. Homogeneous severe oracle regret: independent=0.000085, hierarchical=0.000008.","Pooling is a conditional extension, not a universally safer main algorithm component.",APPENDIX_CONDITIONAL_FINDING,Do not make hierarchical pooling a headline contribution.,
Q7/H4/H6,"The core DR/local-Gate mechanism is robust to model stress, but shift-aware weighting is not a demonstrated improvement.",MIXED_SUPPORT,Synthetic S4/S5/S3,"S4 strong-nonlinear RMSE: DM=0.00671, DR=0.00458. S5 severe Gate harm=0.075% at coverage=24.74%. S3 mean_10 mean abs error: standard=0.00347, estimated shift-aware=0.00480, oracle shift-aware=0.00479.","DR provides useful protection relative to DM, while the shift-aware extension does not earn a main-algorithm role.",MAIN_CORE_PLUS_APPENDIX_NEGATIVE_RESULT,Keep S3 shift-aware results as robustness/negative evidence; do not tune them to force a win.,
Q8/H7,The Synthetic mechanism transfers to real feature geometry.,STRONG_SUPPORT,Semi-Synthetic Digits/Wine/Breast Cancer,All 3/3 local-stress datasets show global-positive/local-negative truth. Natural candidate negative subgroup appears in wine. BB-DR 95% coverage across fixed-population Semi=89.61%.,"Real X/Y geometry does not destroy the central local-harm and selective-deployment phenomenon, although Semi calibration is less perfect than clean Synthetic.",MAIN_EXTERNAL_TRANSFER,Report the Semi undercoverage honestly as a limitation under degraded support.,fig_final_05_semi_transfer_harm
Q9/H8,"Real-log OBD external validation is directionally useful, but raw BB-DR does not pass the reverse negative control.",PARTIAL_SUPPORT_REQUIRES_TARGETED_OBD_AUDIT,Full OBD + independent on-policy reference,"Mean full-data clear-group MAE: DR=0.05681, IPS=0.00092, SNIPS=0.00094; DR/IPS MAE ratio=61.7x. Raw forward clear harmful exposure=0.00%; raw reverse=42.06%.","Forward rollout is conservative, but the reverse BTS->Random Gate wrongly deploys a reference-harmful policy under very poor support. This prevents a clean claim that raw OBD BB-DR is already validated.",CRITICAL_REAL_DATA_LIMITATION,Complete the targeted OBD DR diagnostic/re-run described in obd_dr_code_audit.csv before claiming real-log DR validation.,fig_final_06_obd_raw_vs_ess_safeguard
Q10,"Evidence accumulation appears at large OBD sample sizes, but the entire finite-sample curve is not strictly monotone.",PARTIAL_SUPPORT,OBD repeated subsampling,all: width 0.0698->0.0295; men: width 0.0448->0.0352; women: width 0.0529->0.0382,"Intervals contract from the largest repeated subsample to full data in each campaign, and forward deployment generally increases. Early sample-size points can be non-monotone, so avoid claiming a strict monotone law.",MAIN_OR_APPENDIX_EVIDENCE_ACCUMULATION,No broad rerun required; report the full sample-size curve rather than cherry-picking endpoints.,
