check_id,severity,status,finding,implication,recommended_action
SRC-01,INFO,PASS,run_obdnew.py parses successfully with Python AST.,No syntax-level issue detected in the audited source.,None.
SRC-02,INFO,PASS,bcspi_core.py parses successfully with Python AST.,The DR core source is available for audit.,None.
DR-01,INFO,PASS,Canonical DR residual formula found.,The algebraic DR correction itself is structurally correct.,None.
DR-02,INFO,PASS,Out-of-fold training/prediction separation is present.,Cross-fitting protects against same-row reward-model reuse.,None.
DR-03,MEDIUM,LIMITATION,"OBD reward nuisance uses squared-error SGD with linear context/item interactions and clips predictions to [0,1].","This is a valid conditional-mean regression strategy, but the final OBD data show DM/DR much worse than IPS/SNIPS, so nuisance misspecification/optimization is a plausible finite-sample failure mode.","For the targeted OBD diagnostic only, compare against at least one alternative cross-fitted nuisance model or logistic-loss model."
DR-04,HIGH,REQUIRES_CHECK,Policy value nuisance is computed by predicting at E[action_context] and then clipping.,"For a linear model before clipping, f(E[z]) = E[f(z)] is valid. After clipping, clip(E[f]) need not equal E[clip(f)]. If per-action raw predictions cross 0 or 1, q_pi can be biased even though the linear shortcut is otherwise algebraically valid.","Targeted diagnostic: on a representative OBD sample, explicitly enumerate actions, clip each q(x,a), average under pi, and compare with the current expected-feature shortcut."
DR-05,MEDIUM,LIMITATION,Bootstrap/BB uncertainty resamples already-computed cross-fitted DR pseudo-outcomes; the nuisance model is not refit inside each bootstrap draw.,"This is computationally efficient and calibrated well in clean Synthetic, but it may under-represent nuisance uncertainty in difficult real-log settings.","Keep the method labeled Bayesian-bootstrap/generalized uncertainty; for OBD, use independent on-policy validation and evaluability safeguards rather than claiming an exact posterior."
DR-06,HIGH,RISK_CONFIRMED,Core DR uses the raw importance ratio without clipping/stabilization.,This is unbiased under ideal assumptions but can be extremely unstable when support is poor. Final OBD reverse-direction mean local ESS is 1.63%.,Do not interpret raw reverse DR Gate as safe. A targeted OBD diagnostic should include a pre-specified stabilized/clipped-DR sensitivity or a robust alternative.
DR-07,HIGH,REQUIRES_CHECK,"Reverse BTS->Random uses a reconstructed position-level BTS matrix as pi0, while the log supplies per-row behavior pscore; no explicit identity diagnostic between pi0(A|position) and logged pscore was found.","If reconstructed BTS is not exactly the behavior policy that generated each logged row, the OPE estimand and the independent BTS on-policy reference are not perfectly aligned. This is especially important because the reverse negative control is where raw DR fails.",Mandatory targeted diagnostic before claiming reverse DR validation: report the distribution of rho0 = pi0_reconstructed(A_i|position_i) / logged_pscore_i. It should be tightly concentrated near 1 if pi0 is intended to equal the behavior policy.
SRC-03,INFO,PASS,"Action-context alignment, policy-matrix validation, and position-aware processing are present.",These guards reduce the chance that the OBD discrepancy is a simple action-index or position bug.,None.
DR-08,MEDIUM,MISSING_DIAGNOSTIC,The OBD diagnostics save target/candidate w1 diagnostics but do not appear to save symmetric w0 diagnostics.,"Without w0 diagnostics, the current CSV package cannot post-hoc verify whether the baseline side of the DR contrast is stable or whether reconstructed behavior weights are near 1.",Add w0/behavior-identity diagnostics in the targeted OBD audit rerun; no need to rerun Synthetic/Semi.
EMP-01,HIGH,RED_FLAG,"Across full-data OBD clear groups, mean DR MAE / IPS MAE = 61.7x.",A large ratio is direct evidence that the current OBD DR nuisance/correction combination is not the strongest real-log estimator in this result package.,"Before a paper claims OBD DR validation, complete the targeted OBD-only diagnostics in DR-03/04/06/07/08."
